name,tipo,price,estimated_owners,peak_ccu,positive,negative,pct_pos_total,metacritic_score,watch_time_hours,peak_viewers,streamers,peak_channels
Terraria,Multiplayer,9.99,20000000 - 50000000,30516,1344773,34460,97,83,7324988.0,19413.0,92721.0,196.0
Rust,MMO,39.99,20000000 - 50000000,200902,1043708,152272,87,69,152999222.0,275076.0,159159.0,1309.0
Garry's Mod,Multiplayer,5.99,20000000 - 50000000,32384,1106689,36727,96,0,16904706.0,36021.0,25803.0,145.0
Stardew Valley,Multiplayer,14.99,20000000 - 50000000,67309,841413,13440,98,89,12051208.0,37314.0,120961.0,309.0
Euro Truck Simulator 2,Multiplayer,19.99,10000000 - 20000000,43539,825685,22349,97,79,11389619.0,55254.0,86895.0,414.0
Phasmophobia,Multiplayer,19.99,10000000 - 20000000,20766,723620,31340,96,0,35584091.0,90867.0,429825.0,2127.0
ARK: Survival Evolved,MMO,14.99,20000000 - 50000000,31240,603824,117279,84,70,4118622.0,43580.0,58606.0,179.0
The Forest,Multiplayer,19.99,20000000 - 50000000,8504,588185,27459,95,83,1637929.0,9379.0,83301.0,234.0
Fall Guys,MMO,0.0,20000000 - 50000000,954,385931,88788,81,80,11400718.0,100715.0,154790.0,235.0
Valheim,Multiplayer,19.99,20000000 - 50000000,33903,462942,27454,94,0,10789624.0,126561.0,44788.0,257.0
Lethal Company,Multiplayer,9.99,10000000 - 20000000,17278,466206,13075,97,0,7878240.0,55104.0,114922.0,521.0
Brawlhalla,Multiplayer,0.0,20000000 - 50000000,15163,312342,69911,81,0,4602791.0,36364.0,90921.0,128.0
Geometry Dash,Single Player,4.99,5000000 - 10000000,17019,375145,26270,93,0,7358878.0,55169.0,112111.0,240.0
Hollow Knight,Single Player,14.99,10000000 - 20000000,7228,388369,11795,97,87,14749327.0,66858.0,165306.0,1694.0
Don't Starve Together,Multiplayer,14.99,20000000 - 50000000,35283,467745,22312,95,83,4081898.0,12068.0,25436.0,71.0
Palworld,Multiplayer,22.49,50000000 - 100000000,33835,350225,21784,94,0,8314165.0,20493.0,88759.0,556.0
Raft,MMO,19.99,10000000 - 20000000,10017,316714,22510,93,0,3636240.0,21597.0,56651.0,126.0
Subnautica,Multiplayer,29.99,2000000 - 5000000,5090,297572,9157,97,87,6513612.0,47453.0,62497.0,156.0
Project Zomboid,Multiplayer,19.99,10000000 - 20000000,24694,339627,20995,94,0,28693976.0,51612.0,63936.0,313.0
Hades,Single Player,24.99,5000000 - 10000000,4062,271755,4795,98,93,1647504.0,28456.0,28387.0,113.0
7 Days to Die,Multiplayer,29.24,10000000 - 20000000,25426,322283,41459,88,0,20012261.0,171697.0,69178.0,489.0
Vampire Survivors,Multiplayer,4.99,5000000 - 10000000,3230,243277,3737,98,86,1210685.0,29716.0,18801.0,62.0
