rank,game,watch_time_hours,game_lower
3,Grand Theft Auto V,"872,332,438",grand theft auto v
40,I'm Only Sleeping,"71,340,368",i'm only sleeping
44,Clash Royale,"65,280,896",clash royale
47,ROBLOX,"61,884,183",roblox
50,Clair Obscur: Expedition 33,"54,526,913",clair obscur: expedition 33
52,Arena Breakout: Infinite,"50,974,212",arena breakout: infinite
53,Tibia,"50,693,425",tibia
55,ELDEN RING NIGHTREIGN,"49,630,946",elden ring nightreign
60,Genshin Impact,"46,726,208",genshin impact
67,Red Dead Redemption II,"40,932,795",red dead redemption ii
70,Schedule I,"39,038,776",schedule i
71,Mario Kart World,"37,716,109",mario kart world
75,Dune: Awakening,"33,434,829",dune: awakening
77,Hollow Knight: Silksong,"31,330,081",hollow knight: silksong
78,Sea of Thieves,"29,526,293",sea of thieves
79,Megabonk,"29,044,434",megabonk
80,Call of Duty,"28,888,543",call of duty
83,Star Citizen,"27,884,890",star citizen
84,Heroes of Might and Magic III: The Restoration of Erathia,"27,799,299",heroes of might and magic iii: the restoration of erathia
85,Wuthering Waves,"27,711,746",wuthering waves
86,Magic: The Gathering,"27,419,502",magic: the gathering
90,The Elder Scrolls IV: Oblivion Remastered,"26,009,516",the elder scrolls iv: oblivion remastered
92,NBA 2K26,"25,880,079",nba 2k26
97,Mobile Legends: Bang Bang,"23,678,710",mobile legends: bang bang
98,Diablo IV,"23,532,451",diablo iv
99,Warcraft III,"22,799,560",warcraft iii
100,Honkai: Star Rail,"22,795,046",honkai: star rail
101,GeoGuessr,"22,337,184",geoguessr
102,Battlefield REDSEC,"21,108,633",battlefield redsec
108,Pokémon Legends: Z-A,"19,584,237",pokémon legends: z-a
109,Shadowverse: Worlds Beyond,"19,378,988",shadowverse: worlds beyond
111,Brawl Stars,"18,664,193",brawl stars
112,Assassin's Creed Shadows,"18,635,913",assassin's creed shadows
113,Pokémon Scarlet/Violet,"18,445,027",pokémon scarlet/violet
114,Age of Empires II,"18,219,839",age of empires ii
115,Where Winds Meet,"18,117,952",where winds meet
116,Pokémon Community Game,"17,878,009",pokémon community game
120,The Sims 4,"17,431,312",the sims 4
121,Pokémon FireRed/LeafGreen,"17,419,669",pokémon firered/leafgreen
124,REMATCH,"16,895,675",rematch
125,Borderlands 4,"16,482,100",borderlands 4
127,Zenless Zone Zero,"16,312,031",zenless zone zero
128,Software and Game Development,"15,848,035",software and game development
129,MapleStory Worlds,"15,817,570",maplestory worlds
132,SILENT HILL ƒ,"14,841,901",silent hill ƒ
134,Metin2,"14,716,642",metin2
138,DARK SOULS III,"14,379,454",dark souls iii
139,StarCraft II,"14,147,152",starcraft ii
141,Blue Prince,"13,862,512",blue prince
143,Co-working & Studying,"13,750,987",co-working & studying
148,The First Berserker: Khazan,"13,230,253",the first berserker: khazan
150,RV There Yet?,"12,888,444",rv there yet?
151,Food & Drink,"12,826,377",food & drink
152,DARK SOULS II: Scholar of the First Sin,"12,783,007",dark souls ii: scholar of the first sin
153,Dark Souls: Remastered,"12,614,951",dark souls: remastered
154,Rise Online,"12,586,770",rise online
156,Super Mario Maker 2,"12,262,684",super mario maker 2
158,Madden NFL 26,"12,175,723",madden nfl 26
159,Death Stranding 2: On the Beach,"12,151,576",death stranding 2: on the beach
163,Animal Crossing: New Horizons,"11,978,638",animal crossing: new horizons
164,Mir Tankov,"11,815,008",mir tankov
165,PUBG MOBILE,"11,780,177",pubg mobile
166,Super Smash Bros. Ultimate,"11,757,370",super smash bros. ultimate
167,The Bazaar,"11,747,999",the bazaar
168,Super Mario 64,"11,710,608",super mario 64
169,HELLDIVERS 2,"11,512,719",helldivers 2
172,Grand Theft Auto: San Andreas,"11,327,778",grand theft auto: san andreas
173,MLB The Show 25,"11,263,805",mlb the show 25
175,Dispatch,"11,065,582",dispatch
176,Off The Grid,"11,005,396",off the grid
177,Tom Clancy's The Division 2,"10,882,042",tom clancy's the division 2
180,Umamusume: Pretty Derby,"10,556,969",umamusume: pretty derby
181,F1 25,"10,395,123",f1 25
182,The Binding of Isaac: Repentance,"10,394,938",the binding of isaac: repentance
184,DOOM: The Dark Ages,"10,341,952",doom: the dark ages
186,"No, I'm Not A Human","9,585,234","no, i'm not a human"
187,Mecha BREAK,"9,560,693",mecha break
188,Stalzone,"9,505,759",stalzone
190,Pokémon Trading Card Game,"9,445,646",pokémon trading card game
191,The Legend of Zelda: Ocarina of Time,"9,402,802",the legend of zelda: ocarina of time
192,The Elder Scrolls Online,"9,316,357",the elder scrolls online
193,EA Sports College Football 26,"9,294,959",ea sports college football 26
194,Dying Light: The Beast,"9,188,869",dying light: the beast
196,Politics,"9,021,113",politics
198,League of Legends: Wild Rift,"8,862,617",league of legends: wild rift
201,The Simpsons: Hit & Run,"8,630,651",the simpsons: hit & run
204,Age of Empires IV,"8,594,272",age of empires iv
205,Half Sword,"8,507,200",half sword
206,Madden NFL 25,"8,408,286",madden nfl 25
208,Dungeons & Dragons,"8,291,838",dungeons & dragons
209,osu!,"8,278,971",osu!
210,Ghost of Yōtei,"8,226,230",ghost of yōtei
212,Tournament Poker,"7,971,465",tournament poker
213,Makers & Crafting,"7,954,511",makers & crafting
217,Donkey Kong Bananza,"7,722,336",donkey kong bananza
218,Pokémon UNITE,"7,713,034",pokémon unite
220,Super Mario World,"7,634,807",super mario world
222,Pokémon Trading Card Game Pocket,"7,565,440",pokémon trading card game pocket
223,Baller League,"7,496,830",baller league
224,Pokémon HeartGold/SoulSilver,"7,462,551",pokémon heartgold/soulsilver
225,inZOI,"7,449,525",inzoi
227,Baby Steps,"7,409,391",baby steps
228,SEKIRO: SHADOWS DIE TWICE,"7,386,482",sekiro: shadows die twice
231,Heroes of the Storm,"7,307,081",heroes of the storm
232,Super Mario Party Jamboree,"7,189,787",super mario party jamboree
233,WUCHANG: Fallen Feathers,"7,158,294",wuchang: fallen feathers
235,Standoff 2,"7,120,902",standoff 2
238,Escape from Tarkov: Arena,"6,973,552",escape from tarkov: arena
240,The Last of Us Part II Remastered,"6,930,554",the last of us part ii remastered
242,Blue Protocol: Star Resonance,"6,866,728",blue protocol: star resonance
243,Science & Technology,"6,751,395",science & technology
246,2XKO,"6,678,352",2xko
247,Jackbox Party Packs,"6,556,831",jackbox party packs
249,Bloodborne,"6,497,689",bloodborne
250,SPLITGATE: Arena Reloaded,"6,489,004",splitgate: arena reloaded
254,Words On Stream,"6,319,650",words on stream
256,Cloverpit,"6,265,226",cloverpit
257,Ashes of Creation,"6,246,416",ashes of creation
258,Grounded 2,"6,216,697",grounded 2
259,Vintage Story,"6,167,143",vintage story
260,MU Online,"6,107,547",mu online
261,Mario Kart 8 Deluxe,"6,050,972",mario kart 8 deluxe
263,MIR 4,"5,925,191",mir 4
266,Lineage II,"5,893,668",lineage ii
267,Mafia: The Old Country,"5,866,887",mafia: the old country
271,Pokémon Emerald Version,"5,653,663",pokémon emerald version
272,Pokémon GO,"5,617,923",pokémon go
273,Escape from Duckov,"5,574,989",escape from duckov
275,Drive Beyond Horizons,"5,487,924",drive beyond horizons
276,Anno 117: Pax Romana,"5,477,701",anno 117: pax romana
278,Super Smash Bros. Melee,"5,411,289",super smash bros. melee
280,EA Sports College Football 25,"5,398,827",ea sports college football 25
285,Marathon,"5,300,407",marathon
288,Stream For Humanity,"5,202,161",stream for humanity
289,Aion 2,"5,181,466",aion 2
290,Tabletop RPGs,"5,123,581",tabletop rpgs
291,RavenQuest,"5,109,441",ravenquest
293,Black Russia,"5,077,714",black russia
294,Mir Korabley,"5,065,629",mir korabley
299,Gartic Phone,"4,891,201",gartic phone
300,Voices of the Void,"4,812,478",voices of the void
304,Summer Game Fest,"4,766,047",summer game fest
306,Little Nightmares III,"4,610,973",little nightmares iii
307,"Warhammer 40,000: Space Marine II","4,603,033","warhammer 40,000: space marine ii"
313,Splatoon 3,"4,512,228",splatoon 3
314,RuneScape,"4,511,005",runescape
315,Deltarune,"4,457,261",deltarune
318,eFootball,"4,375,255",efootball
319,The Legend of Zelda: Tears of the Kingdom,"4,372,092",the legend of zelda: tears of the kingdom
320,Fatal Fury: City of the Wolves,"4,334,992",fatal fury: city of the wolves
321,DIGIMON STORY: TIME STRANGER,"4,281,604",digimon story: time stranger
322,Summoners War: Sky Arena,"4,226,834",summoners war: sky arena
324,BDJovemAprendiz,"4,214,028",bdjovemaprendiz
325,Diablo II: Resurrected,"4,210,789",diablo ii: resurrected
326,WWE 2K25,"4,209,253",wwe 2k25
327,RoadCraft,"4,206,231",roadcraft
328,Free Fire,"4,195,082",free fire
329,Diablo II,"4,189,031",diablo ii
331,GODDESS OF VICTORY: NIKKE,"4,153,730",goddess of victory: nikke
334,Cronos: The New Dawn,"4,104,966",cronos: the new dawn
336,Epic Seven,"4,076,175",epic seven
337,Death Stranding: Director's Cut,"4,067,566",death stranding: director's cut
341,Miniatures & Models,"3,920,993",miniatures & models
347,The Last of Us Part I,"3,807,988",the last of us part i
351,INAZUMA ELEVEN: Victory Road,"3,768,270",inazuma eleven: victory road
353,Streamer Games,"3,708,819",streamer games
354,Date Everything!,"3,678,696",date everything!
355,The Last of Us Part II,"3,663,781",the last of us part ii
356,Chaos Zero Nightmare,"3,644,939",chaos zero nightmare
359,RuneScape: Dragonwilds,"3,633,149",runescape: dragonwilds
360,The Elder Scrolls V: Skyrim - Special Edition,"3,623,251",the elder scrolls v: skyrim - special edition
362,R2 Online: Reign of Revolution,"3,596,622",r2 online: reign of revolution
363,Pokémon Platinum Version,"3,586,877",pokémon platinum version
365,Etheria: Restart,"3,566,078",etheria: restart
367,Stellar Blade,"3,539,889",stellar blade
369,FANTASY LIFE i: The Girl Who Steals Time,"3,534,437",fantasy life i: the girl who steals time
370,Fallout: New Vegas,"3,530,244",fallout: new vegas
372,Sonic Racing: CrossWorlds,"3,525,076",sonic racing: crossworlds
374,BALL x PIT,"3,507,951",ball x pit
376,Five Nights at Freddy's: Secret of the Mimic,"3,500,299",five nights at freddy's: secret of the mimic
380,Egging On,"3,481,207",egging on
381,The Legend of Zelda: Majora's Mask,"3,472,026",the legend of zelda: majora's mask
382,Wildgate,"3,432,048",wildgate
384,The Alters,"3,388,270",the alters
386,Kingdom Hearts HD 1.5 + 2.5 ReMIX,"3,361,789",kingdom hearts hd 1.5 + 2.5 remix
387,The Legend of Zelda: Breath of the Wild,"3,361,612",the legend of zelda: breath of the wild
388,Battlefield 2042,"3,348,390",battlefield 2042
390,Grand Theft Auto IV,"3,347,219",grand theft auto iv
391,FINAL FANTASY X,"3,343,439",final fantasy x
392,Left 4 Dead 2,"3,342,946",left 4 dead 2
393,Pokémon,"3,325,210",pokémon
394,Super Metroid,"3,317,453",super metroid
396,Warborne: Above Ashes,"3,301,842",warborne: above ashes
397,Elite: Dangerous,"3,260,246",elite: dangerous
398,South Park,"3,242,828",south park
401,Legend of YMIR,"3,193,910",legend of ymir
402,El Chavo,"3,191,970",el chavo
403,ZLAN,"3,189,362",zlan
404,Darts,"3,168,415",darts
405,Persona 5 Royal,"3,152,779",persona 5 royal
406,Infinity Nikki,"3,150,114",infinity nikki
409,Fitness & Health,"3,110,320",fitness & health
411,Sid Meier's Civilization VI,"3,105,057",sid meier's civilization vi
413,Metal Gear Solid Delta: Snake Eater,"3,054,242",metal gear solid delta: snake eater
414,The Streamer Awards,"3,038,404",the streamer awards
415,F1 24,"3,006,190",f1 24
419,Football Manager 26,"2,990,882",football manager 26
420,MARVEL Strike Force,"2,985,676",marvel strike force
424,Active Matter,"2,956,441",active matter
425,The Legend of Zelda: A Link to the Past,"2,950,017",the legend of zelda: a link to the past
426,Super Mario Odyssey,"2,895,521",super mario odyssey
429,Gran Turismo 7,"2,810,912",gran turismo 7
434,Europa Universalis V,"2,730,078",europa universalis v
435,Duet Night Abyss,"2,725,158",duet night abyss
437,MIMESIS,"2,703,678",mimesis
439,Darkest Dungeon,"2,697,226",darkest dungeon
441,Crystal of Atlan,"2,679,565",crystal of atlan
442,Star Wars Battlefront II,"2,670,910",star wars battlefront ii
443,Casino Jackpot,"2,662,936",casino jackpot
445,Fate Trigger,"2,611,603",fate trigger
446,Mass Effect Legendary Edition,"2,609,720",mass effect legendary edition
