twitch_name,steam_match,score,watch_time_hours,rank
The Sims 4,the sims™ 4,95.23809523809523,17431312.0,120
DARK SOULS II: Scholar of the First Sin,dark souls™ ii: scholar of the first sin,94.87179487179486,12783007.0,152
HELLDIVERS 2,helldivers™ 2,96.0,11512719.0,169
eFootball,efootball™,94.73684210526316,4375255.0,318
Tomb Raider I-III Remastered,tomb raider iv-vi remastered,92.5925925925926,1405243.0,650
Olympic Games Tokyo 2020: The Official Video Game,olympic games tokyo 2020 – the official video game™,96.0,926832.0,842
The Witcher,the watchers,86.95652173913044,848050.0,904
Escape Simulator 2,escape simulator,94.11764705882352,792767.0,943
MapleStory N,maplestory,90.9090909090909,775804.0,954
MISERY,mistery,92.3076923076923,767231.0,961
Path of Titans,path of giants,85.71428571428572,759753.0,965
Tony Hawk's Pro Skater 3+4,tony hawk's™ pro skater™ 1 + 2,85.71428571428572,726878.0,994
Guild Wars,guild wars 2,90.9090909090909,723703.0,997
